"","date","GICS_SECTOR_NAME","div_yld"
"290",2018-08-14,"Real Estate",3.69767373537602
"291",2018-08-20,"Energy",3.69057101324623
"292",2018-08-20,"Materials",3.03713915384227
"293",2018-08-20,"Industrials",2.28688959170044
"294",2018-08-20,"Consumer Discretionary",1.84083382280721
"295",2018-08-20,"Consumer Staples",2.90936718950489
"296",2018-08-20,"Health Care",1.96324791304633
"297",2018-08-20,"Financials",2.99517214492872
"298",2018-08-20,"Information Technology",1.5133656978061
"299",2018-08-20,"Communication Services",1.53633287333223
"300",2018-08-20,"Utilities",4.12240698565647
"301",2018-08-20,"Real Estate",3.61177570390997
"302",2018-08-27,"Energy",3.59713202129731
"303",2018-08-27,"Materials",3.08910587415888
"304",2018-08-27,"Industrials",2.28353876811147
"305",2018-08-27,"Consumer Discretionary",1.82662113313372
"306",2018-08-27,"Consumer Staples",2.96505852108387
"307",2018-08-27,"Health Care",1.95958346078244
"308",2018-08-27,"Financials",2.99881987705744
"309",2018-08-27,"Information Technology",1.48614338627439
"310",2018-08-27,"Communication Services",1.52159779058505
"311",2018-08-27,"Utilities",4.14547230167006
"312",2018-08-27,"Real Estate",3.63560170063538
"313",2018-09-03,"Energy",3.61155704011022
"314",2018-09-03,"Materials",3.08220013360055
"315",2018-09-03,"Industrials",2.26838862526677
"316",2018-09-03,"Consumer Discretionary",1.80950981948923
"317",2018-09-03,"Consumer Staples",2.98599425218375
"318",2018-09-03,"Health Care",1.94783493696896
"319",2018-09-03,"Financials",2.99794953565333
"320",2018-09-03,"Information Technology",1.45157626855057
"321",2018-09-03,"Communication Services",1.53263163453119
"322",2018-09-03,"Utilities",4.15207361252993
"323",2018-09-03,"Real Estate",3.61859515575007
"324",2018-09-10,"Energy",3.70886140363466
"325",2018-09-10,"Materials",3.18022986156998
"326",2018-09-10,"Industrials",2.2826151453939
"327",2018-09-10,"Consumer Discretionary",1.84414247232456
"328",2018-09-10,"Consumer Staples",3.00007903598624
"329",2018-09-10,"Health Care",1.96830969452228
"330",2018-09-10,"Financials",3.00683339110003
"331",2018-09-10,"Information Technology",1.49074295132875
"332",2018-09-10,"Communication Services",1.58322658357219
"333",2018-09-10,"Utilities",4.10932710785354
"334",2018-09-10,"Real Estate",3.66196782908305
"335",2018-09-17,"Energy",3.59685572289001
"336",2018-09-17,"Materials",3.13285485883505
"337",2018-09-17,"Industrials",2.25008900274233
"338",2018-09-17,"Consumer Discretionary",1.8387695705369
"339",2018-09-17,"Consumer Staples",2.99189311200237
"340",2018-09-17,"Health Care",1.9554093234159
"341",2018-09-17,"Financials",3.01466977763483
"342",2018-09-17,"Information Technology",1.47040677598206
"343",2018-09-17,"Communication Services",1.58274714498503
"344",2018-09-17,"Utilities",4.10200309946081
"345",2018-09-17,"Real Estate",3.64403981094353
"346",2018-09-24,"Energy",3.48699077748452
"347",2018-09-24,"Materials",3.00852040190407
